ID,Name,Position,Age,Tier,Overall
1,Malik Rhodes,PG,27,Starter,73
2,Marcus Price,C,25,Starter,78
3,Grant Mercer,PG,24,Role,71
4,Xavier Ellis,C,22,Starter,72
5,Malik Ellis,PG,21,Role,70
6,Mason Stone,SG,21,Fringe,60
7,Damien Thornton,PF,25,Role,66
8,Grant Drake,PG,26,Role,68
9,Liam Sloan,SG,29,Starter,74
10,Patrick Gardner,C,27,Role,66
11,Julian Price,PF,20,Fringe,56
12,Victor Cooper,SF,33,Role,70
13,Andre Doyle,SF,28,Starter,74
14,Micah Cooper,PG,25,Starter,77
15,Damien Reid,C,26,Star,81
16,Darius Brooks,SF,34,Fringe,58
17,Nolan Vaughn,PG,33,Fringe,60
18,Luke Drake,SF,26,Role,65
19,Isaiah Wallace,PF,26,Starter,79
20,Noah Cole,PG,22,Role,71
21,Caleb Mitchell,SG,29,Role,69
22,Bryce Cross,PG,27,Starter,72
23,Xavier Warren,PG,24,Starter,72
24,Victor Shaw,SG,33,Starter,74
25,Caleb Ward,SG,36,Star,80
26,Caleb Wallace,C,21,Fringe,56
27,Tyler Ward,SG,38,Superstar,91
28,Owen Mitchell,C,23,Role,65
29,James Cole,SF,21,Role,65
30,Elijah Hale,SG,33,Role,70
31,Owen Doyle,SG,22,Role,70
32,Owen Wallace,SF,34,Starter,76
33,Darius Shaw,SG,24,Role,65
34,Ryan Bishop,PG,30,Role,67
35,Troy Ross,SG,26,Role,66
36,Avery Rhodes,PG,24,Role,67
37,Victor Bishop,SG,34,Starter,75
38,Nolan Griffin,SF,27,Fringe,56
39,Ethan Ward,C,27,Superstar,91
40,Malik Ellis,SG,37,Starter,72
41,Damien Hart,C,21,Fringe,59
42,Cameron Knight,SG,29,Starter,75
43,Blake Sloan,C,28,Starter,75
44,Javon Foster,SF,33,Starter,74
45,Micah Holloway,SG,29,Star,84
46,Marcus Bishop,SG,26,Fringe,64
47,Victor Dean,C,31,Starter,78
48,Zion Grant,C,36,Starter,79
49,Cole Bennett,PF,33,Role,70
50,Owen Warren,SF,27,Role,68
51,Tyler Pierce,SG,29,Starter,74
52,Liam Walker,PF,32,Starter,72
53,Luke Rhodes,C,37,Starter,78
54,Ryan Cooper,PF,26,Starter,72
55,Devon Foster,SG,23,Fringe,61
56,Zion Cross,SF,20,Starter,77
57,Avery Shaw,PG,21,Starter,75
58,Marcus Warren,C,25,Role,68
59,Liam Foster,C,27,Role,67
60,Marcus Reid,PG,37,Role,69
61,Cameron Cooper,SF,22,Role,69
62,Isaiah Wallace,PF,29,Superstar,94
63,Anthony Hart,SF,24,Role,68
64,Javon Warren,PF,21,Starter,78
65,Javon Cross,C,34,Starter,76
66,Noah Price,PF,26,Role,70
67,Marcus Price,SF,28,Starter,79
68,Bryce Drake,SG,29,Starter,76
69,Javon Doyle,C,36,Fringe,64
70,Cole Stone,C,22,Role,67
71,Darius Pierce,C,20,Fringe,55
72,Elijah York,PF,34,Starter,79
73,Julian Walker,PG,37,Role,65
74,Patrick Knight,C,38,Role,68
75,Bryce Reid,SF,37,Role,70
76,Xavier Hale,PF,26,Starter,78
77,Elijah Bishop,SF,26,Starter,73
78,Luke Quinn,PG,32,Star,82
79,Caleb Hale,PF,28,Role,68
80,Grant Wallace,C,36,Starter,78
81,Owen Rhodes,SG,21,Starter,76
82,Kendrick Bell,SF,33,Fringe,62
83,Avery Griffin,C,29,Role,67
84,Tyrese Foster,PF,21,Starter,72
85,Avery Grant,SG,25,Role,71
86,Grant Drake,SG,23,Fringe,64
87,Devon Reid,SG,36,Superstar,88
88,Julian Stone,C,35,Role,66
89,Anthony Ellis,SF,25,Fringe,61
90,Micah Pierce,PF,19,Starter,74
91,Troy Griffin,C,36,Role,70
92,Victor King,PF,32,Superstar,93
93,Tyrese Brooks,PF,35,Fringe,63
94,Jalen Ford,PF,32,Fringe,64
95,Xavier Griffin,SG,36,Starter,72
96,Elijah King,PG,21,Starter,79
97,Tyrese Bennett,C,20,Starter,75
98,Ethan Hale,SG,24,Star,83
99,Zion Shaw,SG,33,Starter,76
100,Isaiah Monroe,SG,30,Fringe,59
101,Victor York,SF,22,Starter,76
102,Jalen Sloan,SG,20,Fringe,60
103,Noah Holloway,PG,27,Role,67
104,Luke Vaughn,C,23,Star,86
105,Damien Bell,PG,35,Fringe,60
106,Zion Walker,PG,23,Role,65
107,Owen Gardner,PF,22,Starter,77
108,Marcus Holloway,PF,36,Starter,79
109,Malik Brooks,SG,20,Fringe,63
